OID,begin,Unit,Shape_Leng,Shape_Area
-1,2019/03/12 21:24:18.996,McNab,170932.429967191303149,56007956.143557459115982
-1,2019/03/12 21:24:18.996,Rainy-Gray,184581.273075168486685,65623344.231567077338696
-1,2019/03/13 20:53:03.999,McNab,4153.174432170748332,842155.329437794745900
-1,2019/03/13 20:53:03.999,Rainy-Gray,105085.302502730221022,31994512.763618338853121
-1,2019/03/13 20:53:03.999,Tzoonie-Narrows,108202.384044712714967,33319090.160132106393576
-1,2019/03/14 20:11:47.005,Brittain,114894.383873541853973,35685434.736260995268822
-1,2019/03/14 20:11:47.005,Tzoonie-Narrows,38477.471399949434272,11318196.140898149460554
-1,2019/03/19 14:52:28.000,Eldred,82931.450785117704072,23512158.226334974169731
-1,2019/03/19 14:52:28.000,Haslam,570374.183597971918061,169270079.017550349235535
-1,2019/03/19 14:52:28.000,Lois,193113.707372506061802,53449570.759531602263451
-1,2019/03/19 14:52:28.000,Powell-Daniels,146323.959970247611636,49296904.672081723809242
-1,2019/03/20 14:48:33.603,Brem,65575.575380069334642,21004771.213962629437447
-1,2019/03/20 14:48:33.603,Quatam,129798.612532170416671,44591525.769013427197933
-1,2019/03/20 14:48:33.603,Theo,215399.966706013830844,75099346.423949643969536
-1,2019/03/21 15:08:33.654,Eldred,61088.694211615533277,15429702.524390690028667
-1,2019/03/21 15:08:33.654,Haslam,124731.042286468145903,31463200.394986145198345
-1,2019/03/21 15:08:33.654,Powell-Daniels,82447.380312650027918,24546808.158666089177132
-1,2019/03/21 15:08:33.654,Theo,95496.171170553032425,25569081.142521928995848
-1,2019/03/21 15:08:33.654,Tzoonie-Narrows,75736.040189863328123,19956487.210341114550829
-1,2019/03/25 21:26:06.013,Sechelt Peninsula,114483.733206397388130,31686509.012593347579241
-1,2019/03/25 22:17:15.994,Brittain,70861.264306567856693,20208763.757030688226223
-1,2019/03/25 22:17:15.994,Sechelt Peninsula,115573.179926672877627,33118213.860371571034193
-1,2019/03/26 15:11:41.998,Chehalis,327091.619422485877294,95352907.392942711710930
-1,2019/03/26 15:11:41.998,Pitt,193806.767541308945511,82583239.347304970026016
-1,2019/03/27 14:42:45.041,Chehalis,356559.322210282378364,152105382.335118651390076
-1,2019/03/27 14:42:45.041,Lower Lillooet,221832.648029073374346,74129357.740688487887383
-1,2019/03/28 21:14:51.002,Sechelt Peninsula,296804.721818447811529,87079119.421835258603096
