OID,begin,Unit,Shape_Length,Shape_Area
-1,2021/03/01 17:53:54.002,Eldred,120676.646932920601103,32392142.598432034254074
-1,2021/03/01 17:53:54.002,Powell-Daniels,163471.702369675331283,56807469.822158880531788
-1,2021/03/02 17:35:24.997,Eldred,12237.717355026301448,3186899.837615818716586
-1,2021/03/02 17:35:24.997,Haslam,501383.677097551815677,141704364.778053969144821
-1,2021/03/02 17:35:24.997,Lois,211977.911845219001407,64819222.126225039362907
-1,2021/03/03 17:23:42.000,McNab,104655.942570666433312,28035010.984632585197687
-1,2021/03/03 17:23:42.000,Pitt,192128.135613752150675,94001672.827920764684677
-1,2021/03/09 17:36:40.006,Eldred,52687.729049728157406,14933184.445936840027571
-1,2021/03/09 17:36:40.006,Haslam,151087.025292372563854,40558367.482832245528698
-1,2021/03/09 17:36:40.006,Lois,126557.251399862856488,36935969.598909743130207
-1,2021/03/09 17:36:40.006,Rainy-Gray,43742.516968385680229,11921148.808719776570797
-1,2021/03/10 17:00:16.971,McNab,60040.708412086765748,19412423.423603191971779
-1,2021/03/10 17:00:16.971,Rainy-Gray,132376.218830911006080,41444245.800094783306122
-1,2021/03/10 17:00:16.971,Squamish,178061.783653022197541,110654243.592488989233971
-1,2021/03/11 17:19:38.604,Haslam,117760.869670783140464,57868644.248594559729099
-1,2021/03/11 17:19:38.604,Quatam,76245.826718845681171,33781344.949388429522514
-1,2021/03/15 16:52:26.142,Chehalis,366026.867167029413395,185363917.876307696104050
-1,2021/03/16 15:09:27.996,Chehalis,228125.977916674921289,98732210.173102766275406
-1,2021/03/16 15:09:27.996,Lower Lillooet,81687.521345844754251,36994313.365160867571831
-1,2021/03/17 16:26:19.725,Brittain,57103.634164289826003,24728838.816813025623560
-1,2021/03/17 16:26:19.725,Haslam,185207.214479492278770,51883646.076978236436844
-1,2021/03/17 16:26:19.725,Lois,136284.130599904223345,34019078.552408844232559
-1,2021/03/17 16:26:19.725,Rainy-Gray,33969.247179264813894,9812372.735278893262148
-1,2021/03/17 16:26:19.725,Theo,158729.960315874312073,88610145.050462782382965
-1,2021/03/22 15:58:45.999,Sechelt Peninsula,528924.170081125455908,199402578.851906001567841
-1,2021/03/22 15:58:45.999,Skwawka,135871.984199136059033,56726898.267801813781261
-1,2021/03/23 16:10:37.000,McNab,168926.672026068757987,64108722.326729774475098
-1,2021/03/23 16:10:37.000,Tzoonie-Narrows,170281.155862375569995,57551173.009205728769302
-1,2021/03/25 15:40:27.594,Lower Lillooet,204372.805207614670508,54243487.820035725831985
-1,2021/03/25 15:40:27.594,Pitt,133491.523282255715458,37731278.126053996384144
-1,2021/03/25 15:40:27.594,Squamish,259354.317121959145879,77447489.623778119683266
