OID,begin,Unit,Shape_Leng,Shape_Area
-1,2018/03/12 14:24:15.996,Squamish,185544.255072155734524,97500825.674595937132835
-1,2018/03/12 23:10:17.013,Sechelt Peninsula,412077.533060042071156,121379656.515977382659912
-1,2018/03/14 15:02:51.048,Rainy-Gray,67298.027569506768486,21727003.421581413596869
-1,2018/03/14 15:02:51.048,Tzoonie-Narrows,160753.043576327007031,50671996.187415614724159
-1,2018/03/14 15:02:51.048,Vancouver,110831.874667877898901,40613691.109860569238663
-1,2018/03/17 14:48:58.000,Brittain,89777.782068277650978,25869414.028783164918423
-1,2018/03/17 17:47:28.002,Southgate,84756.805746267957147,21396431.211459502577782
-1,2018/03/17 17:47:28.002,Toba,241355.247532869398128,89882005.951528102159500
-1,2018/03/18 15:16:56.000,Homathko,219787.790561353816884,96508768.336231634020805
-1,2018/03/18 15:16:56.000,Southgate,131322.808961148373783,53502889.507980614900589
-1,2018/03/20 14:58:06.998,Chehalis,500432.354917665710673,172214632.477521151304245
-1,2018/03/20 14:58:06.998,Lower Lillooet,61707.761017568300304,20699529.441413421183825
-1,2018/03/21 14:32:16.000,Chehalis,162063.415011017612414,42316889.212994188070297
-1,2018/03/21 14:32:16.000,Indian,93048.464988159583299,28807477.594668146222830
-1,2018/03/21 14:32:16.000,Lower Lillooet,205590.260812201944645,61605124.053754538297653
-1,2018/03/21 14:32:16.000,Stave,77558.891400462147431,26718639.059224322438240
-1,2018/03/27 16:19:26.995,Rainy-Gray,61346.200987594391336,20893104.232722528278828
-1,2018/03/27 16:19:26.995,Sechelt Peninsula,340785.350430487247650,102489828.090756371617317
-1,2018/03/27 16:19:26.995,Tzoonie-Narrows,92293.869511926139239,32597919.755929037928581
-1,2018/03/28 14:57:53.999,Brittain,115673.010375338708400,38141107.079255461692810
-1,2018/03/28 14:57:53.999,Deserted-Stakawus,105161.701131640234962,32412910.832800261676311
-1,2018/03/28 14:57:53.999,Skwawka,141960.641420501429820,39278623.591178998351097
