OID,begin,Unit,Shape_Leng,Shape_Area
-1,2017/03/14 21:06:36.055,Clowhom,133217.426954357331851,40329211.718009799718857
-1,2017/03/14 21:06:36.055,McNab,47209.116065236768918,13502707.069346630945802
-1,2017/03/14 21:06:36.055,Rainy-Gray,130981.357752231750055,35639160.112151667475700
-1,2017/03/15 15:22:14.055,Brem,71897.951261052556220,20817146.205689549446106
-1,2017/03/15 15:22:14.055,Eldred,73443.924267521462752,19873172.823399953544140
-1,2017/03/15 15:22:14.055,Haslam,482031.591957378725056,140438583.008244574069977
-1,2017/03/15 15:22:14.055,Lois,214506.533820012322394,62087314.868588216602802
-1,2017/03/15 15:22:14.055,Powell-Daniels,99331.106611768394941,30562210.082893542945385
-1,2017/03/15 15:22:14.055,Theo,195810.958845027664211,65046007.645987369120121
-1,2017/03/20 15:16:10.196,Indian,84325.790330139367143,26320595.479477435350418
-1,2017/03/20 15:16:10.196,Pitt,177672.104154855973320,64663709.318832658231258
-1,2017/03/20 15:16:10.196,Stave,116597.385395520715974,37095040.551529191434383
-1,2017/03/22 22:17:09.093,Rainy-Gray,37767.553333663730882,11871429.510965304449201
-1,2017/03/22 22:17:09.093,Sechelt Peninsula,409713.935536954784766,126247134.256375774741173
-1,2017/03/23 15:30:37.979,Orford,162603.721192206750857,54752434.922303453087807
-1,2017/03/23 15:30:37.979,Quatam,135266.128679206682136,45161689.886591486632824
-1,2017/03/23 15:30:37.979,Southgate,21725.702436236988433,6028514.640290291979909
-1,2017/03/27 15:12:24.072,Clowhom,111969.908512948808493,36111854.292927391827106
-1,2017/03/27 15:12:24.072,McNab,107775.716209576712572,34827838.410309761762619
-1,2017/03/27 15:12:24.072,Rainy-Gray,150199.655482268048218,48224696.021906852722168
-1,2017/03/27 15:12:24.072,Tzoonie-Narrows,157536.176242219720734,46921083.103850483894348
-1,2017/03/30 15:19:37.056,Pitt,145538.123632069589803,40236207.401613786816597
-1,2017/03/30 15:19:37.056,Rainy-Gray,135563.874459571932675,35917662.897256381809711
-1,2017/03/30 15:19:37.056,Stave,140520.989407605578890,43385454.041637353599072
-1,2017/04/04 16:14:35.973,Clowhom,63086.939010818030511,18902277.261718213558197
-1,2017/04/04 16:14:35.973,McNab,65685.640663087760913,16385521.206657987087965
-1,2017/04/11 15:32:49.084,Stave,134178.552576366637368,42286491.789768151938915
